"Block height","Time(UTC)","From","To","Direction","Amount"
"3193029","2024-06-16T18:59:36.004","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CaeSJEp8Dt8XzX9EWkvmwtWxFLL9qACYWw1Lrg1tfg98Psw","Out",0.3897
"3193000","2024-06-16T18:53:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EFtNmXPhpV3rTooru9F3Gm2ACJBt1mjbnvEf5sbcMJ5Bjar","Out",0.08845
"3192996","2024-06-16T18:53:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CAX2o2zUPDRbfoqEbao9dEjcr9auda7aiQxDBFHiYZJm2KS","Out",128.2997
"3192993","2024-06-16T18:52:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HD8MPaJYuKukywQCT5CdpZuQ8U1WxbihjDGs2DiK8zCVfAd","Out",96.2197
"3192983","2024-06-16T18:50:24.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CwX2RGBisk2MqyHnPJ1LDxGzAXRJsj8Q4AGRbxMQ8whEU1K","Out",0.0497
"3192982","2024-06-16T18:50:12.002","5Dv2KpTLJ6d74J5VDoG9mv1emkpoyY8uNo3vcfZxuFE5R2uL","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",652.0721825
"3192978","2024-06-16T18:49:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CAX2o2zUPDRbfoqEbao9dEjcr9auda7aiQxDBFHiYZJm2KS","Out",69.5297
"3192975","2024-06-16T18:48:48.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HD8MPaJYuKukywQCT5CdpZuQ8U1WxbihjDGs2DiK8zCVfAd","Out",51.9497
"3192943","2024-06-16T18:42:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HBVLTTPbJDevWwp1nmKP9MpwuERZHJpJnGxEfSEUCkUBdrW","Out",3.99659473
"3192935","2024-06-16T18:40:48.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DAk6A76JivuP2ZMg21fQrituge5wjHhRZqq5EnKG8oiUXof","Out",0.1592403
"3192932","2024-06-16T18:40:12.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Ejt8gkw84F9eqm1n67ndFHbCQYVP2tHB12GcmLNhgHCDK76","Out",1.0921065
"3192883","2024-06-16T18:30:12.001","5CA86a98cnXnjeopfP6QDQc7U7YarAZXdESPET4FnrjgSJoj","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",4.79987544
"3192883","2024-06-16T18:30:12.001","5DcQKV8tPKJtuwy72uBKSLBjjq5Lpe2BjhQ96c5keXxwegns","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.989875442
"3192876","2024-06-16T18:28:48.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Hdqe7wixXoEBCU2MjHGRMnZ35ozuqR91gBXYjJrR6y8uNTv","Out",5.09206408
"3192867","2024-06-16T18:27:00.004","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DhVj2hoTXcVT87mrim1AgxFMx1ojA7iqnopQBgNofcMqVqX","Out",0.61009261
"3192833","2024-06-16T18:20:12","5CA86a98cnXnjeopfP6QDQc7U7YarAZXdESPET4FnrjgSJoj","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",10.49987544
"3192832","2024-06-16T18:20:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EnzyRYoyaUEe996HDeVv455rAkpbtqxW3ALTgsi71ywnFVd","Out",6.98893206
"3192821","2024-06-16T18:17:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EnzyRYoyaUEe996HDeVv455rAkpbtqxW3ALTgsi71ywnFVd","Out",0.4997
"3192783","2024-06-16T18:10:12.001","5CA86a98cnXnjeopfP6QDQc7U7YarAZXdESPET4FnrjgSJoj","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",7.89987544
"3192753","2024-06-16T18:04:12.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5H3FBFTrYaWSWjLyG5XAfxUxhzPuVdiwug41x1HiG5MqSvDY","Out",8.0836457
"3192742","2024-06-16T18:02:00.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FjanKetYfdmarRrTNNdZLczAVSY8XTJZepUM1ytk6stLF36","Out",0.9997
"3192733","2024-06-16T18:00:12.001","5DC7YMWmtihsn69N9UPX4oUbMaMoM43MN6XZxSqqohkboU8P","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",28.394094684
"3192733","2024-06-16T18:00:12.001","5CdiFZTr8itphAdpnzoXK2fU9hfNJYE4CMKqecWM1p7X2Cyg","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.020875442
"3192733","2024-06-16T18:00:12.001","5DC5HykNZXhHxzrroE31KCthqG3LrUeSJbzhC9sKwghrWZuw","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.187875442
"3192705","2024-06-16T17:54:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HmhCJHPKQmXr851zgPJ6UzA6DaTbFJ6YGYzAx4T16ui9o51","Out",6.5664267
"3192696","2024-06-16T17:52:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FCTP82T27E2UYpH1buMnYLB1L6Aqg4qm9VTg5Ur1pKKWByZ","Out",0.99870518
"3192683","2024-06-16T17:50:12.001","5CyCFtS63B6LvQZLpkrCdXJ8wCRzHxYwLf3mrEJtf99cU7hN","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",69.99987544
"3192683","2024-06-16T17:50:12.001","5Gi2cxFRJszhK87cEQoN8KnkN9fNJCrMqJyLEH6DzbPqm2T1","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",4.99987544
"3192683","2024-06-16T17:50:12.001","5Ddd1gdmSwuCY5VMoZfNX88jb1UxNZKPuJL1rS6FTvTPJoYA","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",4.80289644
"3192663","2024-06-16T17:45:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GUCfY1HeyCJ4K1KPJiNpQBK7wrEiATqQGCCjTYF9n15jxfY","Out",11.33686518
"3192581","2024-06-16T17:29:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5ERpYar9U54HvdANrSZoTg8wPXgdJWd5A8Rnp5B3Ah1nQvEG","Out",0.1584
"3192519","2024-06-16T17:16:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CmvaYJeDLgiVnKMk4jbNnFLkwFBgDC1YxHnK8TLeSiZCMfT","Out",12.2278
"3192510","2024-06-16T17:15:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CestJ76wRYrUZmWRbPLePEQfbFh52DrESN9pNE83FBCsrbe","Out",8.3615298
"3192492","2024-06-16T17:11:24.004","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GYW1yfmcoHgXJk4Qu6GQEiqbbAMp4bn3GzauzHcqMQsbFDY","Out",0.0097
"3192467","2024-06-16T17:06:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EvN2q4LfYFjmyS7iPtHdkuPvwmh6MhE9VpB9WmfFtM6q5t2","Out",3.2046918
"3192460","2024-06-16T17:05:00.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GUFe1ekCadtZp61Lggms5rCfsiE5ddUPP8UMggrCXMhhYPE","Out",0.0007
"3192448","2024-06-16T17:02:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FcEKJnmXwSim2M6jVavRArTKSCaTRC2zopsKNwe6TR3fwdH","Out",204.8817129
"3192436","2024-06-16T17:00:12.001","5DDuQ1gCHjEcoftFehBvVWM9AnF3Kc7TFbggv2ahGCiZZYTW","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",5.63477544
"3192436","2024-06-16T17:00:12.001","5CJo81ZKhLNpN9pWJ5WePfDkp4m9SidxupskPKvKG8QJ5yuW","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.073375441
"3192434","2024-06-16T16:59:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5C58hUGPLxyMKo13xYqeqw7ZTToRz64vKfRcxYFSWP79Tb8Y","Out",1.02468173
"3192425","2024-06-16T16:58:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DhDJHJGY2H5cTfFYZs78GU8hBTtuXwdprMNMRVKVf76NTNe","Out",2.7845124
"3192414","2024-06-16T16:55:48.006","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GgsiMzCbV6v62gWH7Krt2B5NhHbYkshD6dTTdcwiqUbNXXE","Out",0.640059
"3192387","2024-06-16T16:50:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Eh8ckyopbLXTs4DVpaRSPRUFBC9drU7g5cxHTy7bbbwgkGQ","Out",2.48915405
"3192386","2024-06-16T16:50:12.002","5GNPQJmurCMUGjGV4wUzg7DYvZKX4MQrayo6ap5YwugsGbf7","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.429875441
"3192371","2024-06-16T16:47:12.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FcEKJnmXwSim2M6jVavRArTKSCaTRC2zopsKNwe6TR3fwdH","Out",0.212487
"3192360","2024-06-16T16:45:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5H5qxNHRD2bhSm1Z8Q2CxSHTy4SdmU4stXcu9uonyXnarnvk","Out",7.0282644
"3192329","2024-06-16T16:38:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5G6bLVxpD6ZjNmghoxuCBs4ZQU96dHPViYh3dNKz7yYwDjsT","Out",0.0097
"3192295","2024-06-16T16:31:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5G6bLVxpD6ZjNmghoxuCBs4ZQU96dHPViYh3dNKz7yYwDjsT","Out",0.0007
"3192187","2024-06-16T16:10:12.002","5F5hCqdQ8X9ikL9rYRNedEF4Y68qPbk3NFYW1yKkhX9uC1Gh","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",799.99487544
"3192187","2024-06-16T16:10:12.002","5Dbx3ajmdHobdbkF71c9g5Q2Z2M4uKcEW65modRHstmEt3o4","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",19.99987544
"3192187","2024-06-16T16:10:12.002","5CTGBQEch7QeHsrkyKZ1oua71QUc5kt8rbdqohNLAKGBCz8Z","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.999875442
"3192179","2024-06-16T16:08:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5D5PtKPkdFAS6NZC3FsNxka4NvFjEbBEsicXqXDYeqrBZgF7","Out",0.0007
"3192125","2024-06-16T15:57:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5G4WvtSj4UL5pgN9W1uVKwkZcFvBBWTC3TR93ZrABNMdAEQQ","Out",0.9997
"3192064","2024-06-16T15:45:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FTbBZN1jGYviX7cYiF2azaHwMicsCP7eSz4SSHjAa1L84Wr","Out",0.0997
"3191996","2024-06-16T15:32:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FpVhFcXCW72db5DN3u2oNBXM5siZ6sZvQQnWjHP8EmQQAwe","Out",0.052
"3191978","2024-06-16T15:28:24.006","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CPKGBGgEdaYBhZQX7j3LjfbXidAc9RjpHXr4Fmdn3ccM1j8","Out",1.04256045
"3191972","2024-06-16T15:27:12.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CiisC7jRvndmEaZUsZdiYw7cGsmWNSbqzwbaoarGVeMw25k","Out",0.1502
"3191961","2024-06-16T15:25:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EL1XD9Seywmy4xkqoGuzKzhu8GSitqs1q9KLpYUTGQtk3uU","Out",51.39263861
"3191954","2024-06-16T15:23:36.005","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CfE3aiuPg4yit2PvSBwH7TodMXLHiDfxz9n9BQsBxSBXiV5","Out",3.3346957
"3191950","2024-06-16T15:22:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CrGax4G4t3yccND75zNzv9aEewRae91S9MbZsGRDPMV6vgu","Out",4.8925023
"3191838","2024-06-16T15:00:12.003","5DDVEfBLBGtBT5isUNJ3yWWLsyq4gd5xDo9vHWhjEt8n8qin","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",5.99487544
"3191812","2024-06-16T14:55:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EtHA4G9b446oX2id2K6VkFzjHFTHbQXJ5cAXTfKe37ffCPr","Out",158.0258144
"3191809","2024-06-16T14:54:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DeW2f7royEYFHrr8iysU5khP7hzikdyQNLTqKuaP9pXfqyB","Out",34.9997
"3191806","2024-06-16T14:53:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EFeAUfzA4khQrMMRrheGWXzBaGaMygiLZoZPKQfA8MjCE91","Out",0.2224663
"3191788","2024-06-16T14:50:12.001","5CvACyJJPjAjzN9T57RPHcFzPtPE7DJQeu9fcDUt8Th1CYi3","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.651075404
"3191741","2024-06-16T14:40:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EtHA4G9b446oX2id2K6VkFzjHFTHbQXJ5cAXTfKe37ffCPr","Out",1
"3191738","2024-06-16T14:40:12.002","5DDUssu7XdjcDcdgjMifCK3pjWLGh3MEGD36dwrHUyY6MYMm","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.096153799
"3191691","2024-06-16T14:30:36.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EcGKm97sN7BTAo1UT1XCi5KfgTiYbaEaqzxfLyUfwsSMDKj","Out",6.6037893
"3191673","2024-06-16T14:27:00.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CrGax4G4t3yccND75zNzv9aEewRae91S9MbZsGRDPMV6vgu","Out",2.8967
"3191667","2024-06-16T14:25:48.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CrGax4G4t3yccND75zNzv9aEewRae91S9MbZsGRDPMV6vgu","Out",0.0997
