"Block height","Time(UTC)","From","To","Direction","Amount"
"3168273","2024-06-13T08:08:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GbcWdi7vyWZukBqwKApZN3baaiBgkWgbguwhanAuxZkJ8PJ","Out",1.6066914
"3168258","2024-06-13T08:05:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DDAnHyZw9jHgtHupdXJT3AY9iadB4Jn9yFmnf2yHeuhjT2E","Out",2.0299677
"3168223","2024-06-13T07:58:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5F9ngv22a3DyPjxi9rx6GnTqJtWQzZ78bwVMQez83rTZua8a","Out",0.7497
"3168199","2024-06-13T07:54:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GxEPmYLhD1N5zzcrTy8DNyiTtR9An1eQdqqPXH2pgGXEaX6","Out",14.9008839
"3168194","2024-06-13T07:53:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FpRS7bcUKkMQfwPiULKoYSAHr2VFZ4oCapLiYp6GBFoPfdw","Out",3.2622649
"3168182","2024-06-13T07:50:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5C53DU7GoqGeQ8mZBVED7A4PPCHXH44LXNxqGtmrWDTgS2wJ","Out",0.7497
"3168180","2024-06-13T07:50:12","5DS9EdsW74fJ1ZdRGB631CxC1P4TadkhAKqAsZz9dVQfoCnZ","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",10.99987544
"3168167","2024-06-13T07:47:36.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EXV1Lxwz3CXqWpF2jg3dDX5Dy9AFN9P91TAp7VeHjxLGQSZ","Out",1.2711273
"3168164","2024-06-13T07:47:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5ELVhh8G1nyzxQRXYybSo5EBLH2N5koofLFha2Zvgr7gJyXm","Out",0.1437558
"3168130","2024-06-13T07:40:12.001","5F5hCqdQ8X9ikL9rYRNedEF4Y68qPbk3NFYW1yKkhX9uC1Gh","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",799.99487544
"3168119","2024-06-13T07:38:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CwmQG3LoS1pXCSUTkrhN4kn1tiCNSFDzxcMkmAMWEpWcRmA","Out",0.7497
"3168087","2024-06-13T07:31:36.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HTfphVtvGpRHrs4NQY77HNeedEpcpvcLQgmbvrKEbw3F1f5","Out",0.7497
"3168075","2024-06-13T07:29:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Exf9qGXj8N3fxJvDMbEkpZ6y16ZSdwCWbkJDQvXNDXo2iVi","Out",3.01774974
"3168042","2024-06-13T07:22:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Exf9qGXj8N3fxJvDMbEkpZ6y16ZSdwCWbkJDQvXNDXo2iVi","Out",0.0127
