"Block height","Time(UTC)","From","To","Direction","Amount"
"2753370","2024-04-13T10:24:12","5CeXbiGquo1banXhcSM5a2voww4Rkn8KhA2iXrXgyzruJdmP","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.999999856
"2753362","2024-04-13T10:22:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CX35YW3aCL9nYFB7emWAGpNVTZ9Dynoae6cyBdJz9tfK58W","Out",4.99480182
"2753349","2024-04-13T10:19:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CX35YW3aCL9nYFB7emWAGpNVTZ9Dynoae6cyBdJz9tfK58W","Out",0.0999
"2753320","2024-04-13T10:06:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EZumPf3Jsfcj4GwJezSpR8V7GqsGbaryA6MS4XiQC7mkZof","Out",0.39368472
"2753319","2024-04-13T10:05:48.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5D4vUZ9e5rRjYrx4ih3DBwDP2pBV1woHCb2e2CvEt58QXjRY","Out",2.00789
"2753319","2024-04-13T10:05:48.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CGAZq1ZzSCKJDYAzNEjPYyzGjW9rcnFMxDmAD483eTX2izT","Out",5.00489
"2753314","2024-04-13T10:03:48.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DkGC2n7HMtvA3C4tcKH8Jtsn6z4J5S2gv6AYZQgxJUVN6Vo","Out",16.4999
"2753255","2024-04-13T09:51:24.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CXBtfssixbfgTTrTvSfsBEh6U9uL6cTi7ybLaEMrGk12ZHE","Out",16.4689227
"2753239","2024-04-13T09:48:12","5ChKeWDvoW7Ss2fqbFtkg8qqCnJ3sGXBWhinmepwLk1jjyu5","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.214999856
"2753200","2024-04-13T09:40:24","5CH39Y5k1LE39rwiuBnBYSYDtMWBa7U17zUmXqkReFuGCBAo","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",4.999999854
"2753200","2024-04-13T09:40:24","5ChGSitfh1wKgVBBZcqn4BkaVi6kHEKCunDSTQcPiTWtfDbn","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.068621913
"2753200","2024-04-13T09:40:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CUmchkUHCPQ68aKdn6b8uZYajH4VtnCsH5Eyei1qkjQ7ecp","Out",0.39958
"2753161","2024-04-13T09:32:12","5Chp4ov15QGsEw4MZW45uBEyLyWGkww3SXtVMjyvadRQZNyn","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.094099855
"2753121","2024-04-13T09:24:12","5H2yhWYdTGUEbVfmQZ1PEz6beqXSQxARUrCSsjP6D9jL3ALM","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.999021856
"2753049","2024-04-13T09:08:48","5ChMxBYW6chovGoJpSeFnkCK3bxhXz7pogpG3FxQWQytbSNB","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.994999855
"2753046","2024-04-13T09:08:12","5CH36SfUb8qE3j9SrDJGfLYadoevvZ1GpjU2YkS3zQRNJfy9","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.786277855
"2753046","2024-04-13T09:08:12","5ChMxBYW6chovGoJpSeFnkCK3bxhXz7pogpG3FxQWQytbSNB","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.094999856
"2753032","2024-04-13T09:05:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DWkZaDd8tc1vV5EH8H1ASwrraFR7VjixP9PooeiBABFDeh7","Out",3411.2599
"2752997","2024-04-13T08:56:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DWkZaDd8tc1vV5EH8H1ASwrraFR7VjixP9PooeiBABFDeh7","Out",9.9999
"2752980","2024-04-13T08:51:24.008","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5E479Sqw8MqvM82odJtfGQ7DLY2KyXVsePoFZrAeyjLHhk6d","Out",0.39489217
"2752977","2024-04-13T08:49:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HpTzpaNQ29xyiux3oMk6Y5EWDUXdKpSuwDpvaFkcqz6gMHQ","Out",25.0005743
"2752975","2024-04-13T08:48:00.001","5GS8NTekLLLsizQUSw7FD4HL5B6UTQnhDrMiahSbh6qMFH6n","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.009021855
"2752959","2024-04-13T08:40:00","5CEZiFTkvZt6Z2ZQTNTeGXbdQgH5MXVTGzZVsGakdSBHJeNj","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.992993855
"2752956","2024-04-13T08:38:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HNM67M2TpkkJM8v4SC2Ft85jhs6mS9pomtsdNmTSrWDZjgf","Out",0.16973
"2752942","2024-04-13T08:35:24.01","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CXBtfssixbfgTTrTvSfsBEh6U9uL6cTi7ybLaEMrGk12ZHE","Out",6.8132798
"2752938","2024-04-13T08:34:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CUfeJf4NPs3YeuiojPhzhP4pJobDvicW7upHptFB5Zf45HA","Out",233.551115
"2752897","2024-04-13T08:24:12.001","5CHpZUrZfAQRADZus1NrZvexdrvuqFXZX7JgWmFQpe7azYo4","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.078345496
"2752888","2024-04-13T08:22:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5ES7RB2Qm45CwMNDZkTvfF2LxXPRtjzAdwHafrocftsTt1xy","Out",9199.833
"2752886","2024-04-13T08:22:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HpTzpaNQ29xyiux3oMk6Y5EWDUXdKpSuwDpvaFkcqz6gMHQ","Out",6.9979
"2752858","2024-04-13T08:16:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5ES7RB2Qm45CwMNDZkTvfF2LxXPRtjzAdwHafrocftsTt1xy","Out",1
"2752857","2024-04-13T08:16:12","5Dv2KpTLJ6d74J5VDoG9mv1emkpoyY8uNo3vcfZxuFE5R2uL","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",51.774999854
"2752843","2024-04-13T08:13:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CmvaYJeDLgiVnKMk4jbNnFLkwFBgDC1YxHnK8TLeSiZCMfT","Out",40.7232
"2752836","2024-04-13T08:12:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5F1ptM6zJzRtizucUJQETiqdDaNknFtA8Pk93b66o58JfHEc","Out",12.7674
"2752813","2024-04-13T08:07:24.011","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HpTzpaNQ29xyiux3oMk6Y5EWDUXdKpSuwDpvaFkcqz6gMHQ","Out",5.9949
"2752810","2024-04-13T08:06:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EvUD4yMq8G8c6UXeLJHpe6a4hV163ftcybQGsRr2tHFbkp7","Out",5.355
"2752798","2024-04-13T08:03:24.006","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FCmfoavvu2ZVtxYqwuNuNkzEFiu419RGZCZYFZBbn7s3Bmb","Out",74.6399
"2752793","2024-04-13T08:01:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DWkZaDd8tc1vV5EH8H1ASwrraFR7VjixP9PooeiBABFDeh7","Out",9.9999
"2752786","2024-04-13T08:00:12.001","5Chmo9N2tJRmH3YdFYzn9WQvWH2NN1EJzXGKCRStGbdNdTjD","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.242749026
"2752778","2024-04-13T07:58:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DWkZaDd8tc1vV5EH8H1ASwrraFR7VjixP9PooeiBABFDeh7","Out",0.0099
"2752763","2024-04-13T07:55:36.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FD5zxcMDkUTxYAeqQdKbfrx6ZkPuxEwVGWaP4hYpnBAeTuV","Out",0.5099
"2752726","2024-04-13T07:48:12.001","5CHjMBRsredNf3EhXcdurXKKPkryzaokwR2sA1JBMTcK88pm","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",3.894999855
"2752726","2024-04-13T07:48:12.001","5C6pATAbKNm1mQkxhSoYefWCk6ve96RG1QTvUhy6DUetnZgY","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.638799855
"2752726","2024-04-13T07:48:12.001","5CHcrDYZbKkqnsta4XtNTF2x1A3tYxysYxJcAuMJFroBbBGJ","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.599999855
"2752717","2024-04-13T07:46:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EvUD4yMq8G8c6UXeLJHpe6a4hV163ftcybQGsRr2tHFbkp7","Out",3.946
"2752704","2024-04-13T07:43:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EvUD4yMq8G8c6UXeLJHpe6a4hV163ftcybQGsRr2tHFbkp7","Out",3.514
"2752698","2024-04-13T07:40:48","5CHLDXXtYxTYJUui1GnNknGHsf49vPjXKfVuo9Gjy8tHAcvt","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",10.576663707
"2752698","2024-04-13T07:40:48","5CHcrDYZbKkqnsta4XtNTF2x1A3tYxysYxJcAuMJFroBbBGJ","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.099999856
"2752698","2024-04-13T07:40:48","5CHjMBRsredNf3EhXcdurXKKPkryzaokwR2sA1JBMTcK88pm","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.044999856
"2752698","2024-04-13T07:40:48","5ChPH1hsz64trz7FU7dP6GzPNQE9YW7LZvQ6Rzn7qrXoA7mi","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",4.074999855
"2752622","2024-04-13T07:24:00.001","5CHGsfHD6WzCoy5EMhti1Pps5zAnTcBFRQPu9czMTzukdpwK","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",3.131999855
"2752616","2024-04-13T07:20:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HbQRFpzjiBVstsbjjug7veLTpY3QL7LXw8P1d69yg8VEYep","Out",1.06291486
"2752611","2024-04-13T07:18:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Ebg8wundataWdBPigG3XwrtKw3dkmgXLS6RCbdNJZ6wfCei","Out",1.0629
"2752611","2024-04-13T07:18:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FCmfoavvu2ZVtxYqwuNuNkzEFiu419RGZCZYFZBbn7s3Bmb","Out",93.7599
"2752609","2024-04-13T07:16:36","5DS9EdsW74fJ1ZdRGB631CxC1P4TadkhAKqAsZz9dVQfoCnZ","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",14.999999854
"2752609","2024-04-13T07:16:36","5Ch2aiozuHBwCFd5hYQVHKVBMBps15adtuxffXMuyxhG6Sa1","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.349999856
"2752608","2024-04-13T07:15:48.01","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GQMdbmJ21nRau55xU9W8ZYfa1AAJt2jy8xFnXQVTJVN61ut","Out",73.8014
"2752605","2024-04-13T07:14:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Cz4qNmG9VkDKZKAniENzinP3Qamb6LGg2bjvaTiisDv7X9R","Out",1.0619
"2752605","2024-04-13T07:14:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EpiW6QHZ1T2kKZVCe24TDqBZZjeKuDkCMWpNBcbKYzAzM7c","Out",4.248
"2752602","2024-04-13T07:13:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FxhF73Kd75MkwCqLafetJPt7bBE4urVpyvzBHeQn4dZcega","Out",0.1524
"2752601","2024-04-13T07:12:36.041","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DMEoxnQtXDH7ouJfH1ZjpDs7gC3xZZrh8PWFBw7gne1SHsh","Out",1.3591394
"2752597","2024-04-13T07:10:36.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FsBGFDrb9q5vGzEqP5Z83SMas8KGtbULFCKX373N9fhZxQZ","Out",1.0589
"2752593","2024-04-13T07:08:24","5Ch9uianCiacHF1v1UXqxV9Z47ffnynSRuR5VtRhMgs5vfz9","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.989958856
"2752592","2024-04-13T07:08:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5D9fM5EMY1YPaSrcKCN7NM356soQueSgDgXys2PWcNotdknq","Out",1.0609
"2752592","2024-04-13T07:08:00.001","5FR9iE7uWidFyzLSmDENK6N1BGcx3XxQidCgY5T5vAYakLCW","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",12.999999854
"2752592","2024-04-13T07:08:00.001","5GZMdQV6a7Z7HuvE8qAY4wTKUmsDgZMfxxeSrJJKfyA7zB5u","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",12.155826854
"2752592","2024-04-13T07:08:00.001","5CGtXjmC1zMzJ63Grph6vMFUdmKvnU9ioEj6TruREjdq8i3o","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",3.272713855
"2752586","2024-04-13T07:06:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Dq2pPKp312CjmggsTmiiJTmywQhU2BG68NFBUTVn38RmiQu","Out",151.92484748
"2752554","2024-04-13T07:00:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EU8hpzyUHpQpjFYTkPpMFvvtizhQy1aLuAzsm5TKALFpSD8","Out",1.0599
"2752539","2024-04-13T06:57:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EU8hpzyUHpQpjFYTkPpMFvvtizhQy1aLuAzsm5TKALFpSD8","Out",1.0599
"2752533","2024-04-13T06:56:12","5CBYSsBkBbnVU9h6jiDh3iQnkvgsSc8yGVnCfsJGGukYj5pW","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.624999855
"2752533","2024-04-13T06:56:12","5CGK4UmhkrVSitaQZvQaBP76HQqvmBksApVks1Vy2BcSTfbc","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.809999713
"2752525","2024-04-13T06:54:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DU1YDzmXT6X4BEZyaqgBDRbPvbpThJQwGAXPSYFZYRJ4Ehr","Out",1.0599
"2752498","2024-04-13T06:48:00","5CHeBUi57isfVdx3mZFb1fgsohNMXpz4GjGurb8z3ZfrtrTN","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.766812865
"2752419","2024-04-13T06:32:12","5CHeZo3TGX1eryJdUX4fAfSQmPFaknvVbBTQQq2zCFxyAcPb","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",3.994999855
