"Block height","Time(UTC)","From","To","Direction","Amount"
"3106847","2024-06-04T18:30:48","5FR9iE7uWidFyzLSmDENK6N1BGcx3XxQidCgY5T5vAYakLCW","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.998875441
"3106844","2024-06-04T18:30:12.001","5D92b43v1kuuyMoBsY6KyyqJFzRWkC3kQdmh7hdRqucW1nxe","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",9.99987544
"3106654","2024-06-04T17:51:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HRKzHRDSAYG9C8N9TFPSX1RBTiyC5N4CxgsWCnB9cVoJF4P","Out",9.6596304
"3106646","2024-06-04T17:50:12.001","5Dv2KpTLJ6d74J5VDoG9mv1emkpoyY8uNo3vcfZxuFE5R2uL","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",138.138195514
"3106624","2024-06-04T17:45:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5C7Z9ag3aWxGCvzdNTqs3J49acMy5n8nVpjTEoDazJFoJjMk","Out",0.04086432
"3106621","2024-06-04T17:45:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CAX2o2zUPDRbfoqEbao9dEjcr9auda7aiQxDBFHiYZJm2KS","Out",3.0097
"3106618","2024-06-04T17:44:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HD8MPaJYuKukywQCT5CdpZuQ8U1WxbihjDGs2DiK8zCVfAd","Out",2.2697
"3106599","2024-06-04T17:40:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5ELjC3CSEm3CLyJFeRBUtYBwsbymBtSEjpvNvxm4aPRpQMuw","Out",12.9997
"3106571","2024-06-04T17:35:12.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DyPbcox5rmCvADMYpV8QpDEHNss3ZhHdQGD33hXypssZSeL","Out",1.35575561
"3106567","2024-06-04T17:34:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5C8drQBCRgL9GrTqhZGbhDH2tGuks3NJmLLrh6hPDTFc2o6X","Out",0.55914
"3106562","2024-06-04T17:33:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HWd5GdHoYR6WrTcYeDXVUe3skffNAZneVk4vTjS7sUnKPPi","Out",0.24723254
"3106546","2024-06-04T17:30:12.001","5CsRaRJSc1Y5XAdhF3wzjtjzc1kZCGqW64D38JXMp8NNV36n","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",13124.999875439
"3106546","2024-06-04T17:30:12.001","5CtZRnKLKTVEswkBFimQf9d3tDaJcJwQsbPyJ7VQ77ow3UDJ","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",203.026785903
"3106546","2024-06-04T17:30:12.001","5D9kBU4s7XQrnoCNUhJDgM9Hd8aask7zBXT2a2fzfDxRdvyk","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",54.99987544
