"Block height","Time(UTC)","From","To","Direction","Amount"
"3053087","2024-05-28T06:40:12","5CHMk3sCTDvXHqciKetuR4EWb958esMD4KattdhnBVT5NZ6R","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",37.99871544
"3053087","2024-05-28T06:40:12","5CNerD1Q4b7zf1Kz4GQz4ZHtzLtW1mfhmrWVz5yhrG5Pbtwz","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.031945442
"3052889","2024-05-28T06:00:12.004","5CaUAa4pNAgX8fMGCQtPX9oeSh1RSLC2GaR43NKurGXxQFQz","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",4.99987544
"3052840","2024-05-28T05:50:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5C9yxtpfJgkYHEYUC1vDykzfzqGc4p39yvCnrynPvyym6dhD","Out",0.00423267
"3052839","2024-05-28T05:50:12.001","5D5KvMH5jpR99np5Qb2jpj8QShEnLiPV5pprtPHFMgzSNXu5","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",10.49987544
"3052839","2024-05-28T05:50:12.001","5CVftm1Qw7JsmrsSrMNEa2weF4QoEWueYqYkADrW3MVP9CjJ","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.499875442
"3052829","2024-05-28T05:48:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DCuAYDMHHqztLetM3Bo8yBsenDw89e3ThAmMX3d9QHQHqpW","Out",0.2094
"3052789","2024-05-28T05:40:12.001","5Crr9uFbZky65gcXFmpZw5tE98MCwvHhq3aGyRc9Vzf9R6Uc","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",4.441217204
"3052740","2024-05-28T05:30:24","5CQozEsvAiPBSGcQjeQjkfoyvQ3NMzWscxzyYAgt83UnjTmM","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",3.209668467
"3052740","2024-05-28T05:30:24","5CQXVbEtaJJmqfFANY3U57J17pbDb657rLnn6rwGe1Kp993n","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",28.22997544
"3052740","2024-05-28T05:30:24","5Cmr5wURamqHEpJi3pF2S2QBfYbVHEvtw3qfhRTKtEFh7RGK","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",24.48963216
"3052593","2024-05-28T05:00:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GbdwKRaYBnHjG12ovbL3TsHTr8eZahsuzrPfVhTToSMekDf","Out",0.0097
"3052558","2024-05-28T04:53:36.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Exzpx6fvTT2RFU1cS4uF6s4nADGQp1DUPQYFDvBrLyABBwG","Out",3.05041425
"3052483","2024-05-28T04:38:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Exzpx6fvTT2RFU1cS4uF6s4nADGQp1DUPQYFDvBrLyABBwG","Out",0.0002
"3052391","2024-05-28T04:20:12.001","5D3jqWXX63TTxdzbTw78LNVCisGvnBBQpvXQFAUeSwVbYyWU","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.344875441
"3052341","2024-05-28T04:10:12.001","5FR9iE7uWidFyzLSmDENK6N1BGcx3XxQidCgY5T5vAYakLCW","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.177875442
