"Block height","Time(UTC)","From","To","Direction","Amount"
"3163111","2024-06-12T14:50:12","5ELCPGtCdhKjdbsWe52LbAq3gU6aaSobqJmMM2pq4en5xLHq","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",26.993769828
"3163099","2024-06-12T14:47:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FTgCXpvLmSjNrKB1hMHa9DedZJNx2VGdugKQxyshENcrUqE","Out",25.1229516
"3163089","2024-06-12T14:45:48.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5E1rMMWocEFvuh78doibH67t2o5E34tYUq1o3dAvi9Vfiu8A","Out",0.6086904
"3163061","2024-06-12T14:40:00.001","5FKakbngbK1U4Srmwp8qrNGRBbFmL4F439TSZLoGHoLTS4EQ","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",12.99987544
"3163056","2024-06-12T14:39:00.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Dcj94mHgEiYqanyqRsbdpjAxjRAb1a38hBuuLs8DK1dLTMg","Out",68.1882
"3163020","2024-06-12T14:31:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FmKVJKPQxTYGH1vXEYVHEbvCJvEX56F9387u9S3dL1ZzEUr","Out",53.9997
"3163017","2024-06-12T14:31:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CmvaYJeDLgiVnKMk4jbNnFLkwFBgDC1YxHnK8TLeSiZCMfT","Out",27.5723
"3163012","2024-06-12T14:30:12.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5E1suyozApueiCh51t49o6bLJQYZ9QLc7YsJiPANdEhuM47Y","Out",27.5887
"3163003","2024-06-12T14:28:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FegeH615N3aW1MSAr6HCQquRJBDmMzN8jAWs9MgMraPtVsa","Out",14.9997
"3163000","2024-06-12T14:27:48.01","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5H9cNveTjZm9t2fUNi1SsFiEaTaLV746QT3yyyhxbBrEC8Ut","Out",25.7231
"3162994","2024-06-12T14:26:36.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CmvaYJeDLgiVnKMk4jbNnFLkwFBgDC1YxHnK8TLeSiZCMfT","Out",34.5983
"3162991","2024-06-12T14:26:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5E6om28CELDFhS6RfC3JzEDWsTQRTCnSND99rSHBRMyEUC1G","Out",2.32575215
"3162988","2024-06-12T14:25:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5E1suyozApueiCh51t49o6bLJQYZ9QLc7YsJiPANdEhuM47Y","Out",22.3727901
"3162968","2024-06-12T14:21:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DVsLTvGmUDT6hEp3P9RsLL95BgknJm3natm3EFijfkhrzkw","Out",52.9997
"3162962","2024-06-12T14:20:12","5CdiFZTr8itphAdpnzoXK2fU9hfNJYE4CMKqecWM1p7X2Cyg","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",3.409875441
"3162955","2024-06-12T14:18:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FegeH615N3aW1MSAr6HCQquRJBDmMzN8jAWs9MgMraPtVsa","Out",9.9997
"3162944","2024-06-12T14:16:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5H1GZngTd9W5NRgeiDbzmsbdN9QdxHtFY1A7Zy3vTvDtN1mX","Out",2.6657
"3162935","2024-06-12T14:14:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5E1hJYcR5ZFKYdxEizbmWZGHuMdSiYZGixttuPTPwKVeCyij","Out",0.29523174
"3162922","2024-06-12T14:12:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DVsLTvGmUDT6hEp3P9RsLL95BgknJm3natm3EFijfkhrzkw","Out",45.9997
"3162919","2024-06-12T14:11:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FmKVJKPQxTYGH1vXEYVHEbvCJvEX56F9387u9S3dL1ZzEUr","Out",57.9997
"3162915","2024-06-12T14:10:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5ERnCnmK6iXuphGGkWvbJGGMpY5J1FKBsdukMPXCbiENo78v","Out",0.43284502
"3162912","2024-06-12T14:10:12.001","5CcNuDJvqqbUgQgevLzAtsRWgUHnQfP6Gw8xuK9FrKMnzVSV","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",19.99987544
"3162912","2024-06-12T14:10:12.001","5D1ToNWdukjxZ5Q1CTL4jug83ANoKwfcdAMdHPwtRLCSQkJM","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",14.557663192
"3162912","2024-06-12T14:10:12.001","5CdiFZTr8itphAdpnzoXK2fU9hfNJYE4CMKqecWM1p7X2Cyg","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",4.89087544
"3162886","2024-06-12T14:05:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DSMU7sdKYtu8vUNLa8aeNyMio3WMwRqjAP2WVU9wNE2xLQJ","Out",0.48921271
"3162881","2024-06-12T14:04:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HmVrt47UiAV3MKnaJCe8nQAQaip1eUE3rEE23Bg8QxkgESc","Out",1.01871
"3162878","2024-06-12T14:03:24.005","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FegeH615N3aW1MSAr6HCQquRJBDmMzN8jAWs9MgMraPtVsa","Out",0.0997
