"Block height","Time(UTC)","From","To","Direction","Amount"
"3139911","2024-06-09T09:10:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Eba81TsnjyNFWUg6Q1qDFmeBuXd3HWoT9zGDxKkZkTwujjn","Out",1.0004
"3139911","2024-06-09T09:10:12","5GxAsBt3JFyExJRh8Dd9xBxKnmEREJ34jhFaNTureu6KZVh9","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",9.63987544
"3139880","2024-06-09T09:04:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DCuAYDMHHqztLetM3Bo8yBsenDw89e3ThAmMX3d9QHQHqpW","Out",0.2495
"3139864","2024-06-09T09:00:48","5CNerD1Q4b7zf1Kz4GQz4ZHtzLtW1mfhmrWVz5yhrG5Pbtwz","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.086845442
"3139811","2024-06-09T08:50:12.001","5CGc2S5cN1FQ9Cm3DnV9Hq5BpAoV8MtXDsBfL2Z4FiZM2BAe","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",130.99987544
"3139753","2024-06-09T08:38:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5G7Q5GBF86Nxwf2KABEs54n91wW4diBHsnCo8Dv6hCGCqHKr","Out",0.9997
"3139750","2024-06-09T08:37:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EfR3nLXwUVKBJxfX55pFi4VDjwnmh1ZA8JoiSt59UEFfaxi","Out",10.2057
"3139747","2024-06-09T08:37:12.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DHqniXCsdLtvEcwFfopB8W17yWHiv12ex4tDUU8Koa9oJtE","Out",1.9979
"3139744","2024-06-09T08:36:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DVsLTvGmUDT6hEp3P9RsLL95BgknJm3natm3EFijfkhrzkw","Out",67.9997
"3139715","2024-06-09T08:30:48","5CkWbZUn6qR8pStsuyAkzLkpCuUrUkjSTv95R1HoRcPVSzf3","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",998.29987544
"3139715","2024-06-09T08:30:48","5CYRtxkANWNuGF7sxKKSf1Y9PQR9oUwJ9vy2TG3iqskCR1Hk","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",12.80637544
"3139564","2024-06-09T08:00:12.001","5D4j61t8A8MkbJuP5XXXNgyCuDQQsiS2CiNQt9tmvMYaRwFt","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",9.09987544
"3139543","2024-06-09T07:56:00.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HNb7YkWq2LKLpPBE96TToZTBEbodSavv3qvVDj2SJmuBAz8","Out",0.03560164
"3139517","2024-06-09T07:50:48","5Cc4ygj296P8gyu9Qv7hSoxbKRJMrYUnVvwWX4H3JKNahLuh","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",21.89809544
"3139514","2024-06-09T07:50:12.002","5D4j61t8A8MkbJuP5XXXNgyCuDQQsiS2CiNQt9tmvMYaRwFt","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",33.99987544
"3139488","2024-06-09T07:45:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Grgf8nBYdfNjDjir1Gc2Bx6jDq2f4ZqJBdkZGFEBS5Suedt","Out",1.9977
"3139485","2024-06-09T07:44:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EjcBgom4GnhedQa3Euq58e52AuKvwBFKLZwhmXhBNxfeGji","Out",0.3157836
"3139478","2024-06-09T07:43:00.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DCbD56pWJLDnXKHqizMzJd135kYdCGyWbnJMxKp9ZvZE5K9","Out",0.6813177
"3139445","2024-06-09T07:36:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5H3ab4n8VieNLoxfeyWg6HLg3HMPACQ6CZgSyKHrryaKyDyU","Out",1.4221
"3139235","2024-06-09T06:54:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FTP7U2WAT578ZaYwgYLZrqNgT3xZNy6fqwxMVKfPFhfiJes","Out",2.4997
"3139221","2024-06-09T06:51:24.005","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FTP7U2WAT578ZaYwgYLZrqNgT3xZNy6fqwxMVKfPFhfiJes","Out",0.0997
"3139175","2024-06-09T06:42:12.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FCTP82T27E2UYpH1buMnYLB1L6Aqg4qm9VTg5Ur1pKKWByZ","Out",0.99870158
"3139172","2024-06-09T06:41:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DVsLTvGmUDT6hEp3P9RsLL95BgknJm3natm3EFijfkhrzkw","Out",97.9997
"3139169","2024-06-09T06:41:00.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GpZFp6XL65ZYZf4ZWwf14EsBeidwLTc21mt2ejHwADbCKUv","Out",9.0135
"3139115","2024-06-09T06:30:12.001","5CUcbG7hAYfNqJCt3kbBRXMTX4hxfPFouoiz5AHqpCYedYZJ","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.126190305
"3139065","2024-06-09T06:20:12.001","5DS9EdsW74fJ1ZdRGB631CxC1P4TadkhAKqAsZz9dVQfoCnZ","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",13.99987544
"3139065","2024-06-09T06:20:12.001","5CimzGWLUgJxatseNkaDqHHQqHzihihvHvSRq7WdF4TabQNg","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",5.50294295
"3139065","2024-06-09T06:20:12.001","5Cyd9no2q45KhnAUAFuKhwv2oJfwpFLTsnpQC9qL9LzXZhz3","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.229875442
