"Block height","Time(UTC)","From","To","Direction","Amount"
"3190892","2024-06-16T11:50:12.001","5DdBGJPwjXb8bah3xbRHGYm7PRet2MgAFuW1ZpiU4wjsMMMh","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",3.508075441
"3190880","2024-06-16T11:47:48.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5C7MYHyrJ6cGnoxso3xa296itVMDKecEFwr47pVtB42b8cEn","Out",0.75130607
"3190869","2024-06-16T11:45:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FZZ6KWo3h4B7xBjmoCYDjXjhTsQV67jqHWTWCy9KFoBqhEz","Out",1.0986
"3190848","2024-06-16T11:41:24.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5C7MYHyrJ6cGnoxso3xa296itVMDKecEFwr47pVtB42b8cEn","Out",0.0107
"3190792","2024-06-16T11:30:12","5CHeBUi57isfVdx3mZFb1fgsohNMXpz4GjGurb8z3ZfrtrTN","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.998966452
"3190771","2024-06-16T11:26:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5C7MYHyrJ6cGnoxso3xa296itVMDKecEFwr47pVtB42b8cEn","Out",0.0007
"3190692","2024-06-16T11:10:12.002","5DDuPcMoSSBstWFCjRQutKhsnWSSJKtzn7BDQYDPcajnwtRr","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",3.526364464
"3190685","2024-06-16T11:08:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DJdsKhnCyriD8hxVf4V2c89XTn7Ydag3oAwTZXXx4ip3aag","Out",1.01593546
"3190658","2024-06-16T11:03:24.009","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FuuiB7PY3L6G25wzMuCTUoXmQV34uzc4Dhcmm41qw1Bk2ws","Out",0.3175818
"3190561","2024-06-16T10:44:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GWV5XgJanuRk2MdF5fxss1ZALwPW7AUFxiDzBW7ciSsVS6F","Out",10.8583305
"3190493","2024-06-16T10:30:00","5CQKTkXbVm1gC1NVu2Lo6hyct6GAocewoyMnCPi9SiCjxTji","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.299875441
"3190445","2024-06-16T10:20:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GndwfNQhKQfZH4sxfvPA4nSx1b8UGZ1W9VkVKyUs6T19S4C","Out",1.13372769
"3190444","2024-06-16T10:20:12.001","5DDhbWjWbb48xQFsNED2Ruo5zcYWN1yy1opfN3CbZC1xRvjA","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",11.71987544
"3190444","2024-06-16T10:20:12.001","5CYktWSUfE1WYYsPJ73KuSdwD9xYrPjv5YieLVpzUfSpgX43","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.999875442
