"Block height","Time(UTC)","From","To","Direction","Amount"
"2991217","2024-05-19T13:22:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GQMdbmJ21nRau55xU9W8ZYfa1AAJt2jy8xFnXQVTJVN61ut","Out",66.4334
"2991188","2024-05-19T13:16:36.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5F1ptM6zJzRtizucUJQETiqdDaNknFtA8Pk93b66o58JfHEc","Out",45.1941
"2991162","2024-05-19T13:11:24.009","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Cu22AmumR8zV7ihdg7PKnV3snGP84WnY7gEDxsUxgkQLDpp","Out",0.0097
"2991156","2024-05-19T13:10:12","5CKDYwQo1FbkcShxiNFkynXK1nVkokk5x3fqj85s8wi7ksBa","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",6.499900014
"2991138","2024-05-19T13:06:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EHiMHLhw81vXZZBncLAJcnV8j89fPhd7UFWcwmXyowXTXRk","Out",3.89914023
"2991086","2024-05-19T12:56:12.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Cu22AmumR8zV7ihdg7PKnV3snGP84WnY7gEDxsUxgkQLDpp","Out",9.62820454
"2991056","2024-05-19T12:50:12.003","5CU9aQBUvG86QjAGSnhqpZbyNB82aayrcgdSTK4VgcZPKaq7","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.974900016
"2991052","2024-05-19T12:49:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GKHe8yGhAcd3ZUHqkyrKsNQrNJaFeUVLTdwfKLAezKu85qV","Out",0.0797
"2991024","2024-05-19T12:43:48.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Cu22AmumR8zV7ihdg7PKnV3snGP84WnY7gEDxsUxgkQLDpp","Out",0.0097
"2991006","2024-05-19T12:40:12.002","5CVDTNg7jgsYPL74uQBZwMEPv2xcVsYr1pgdcsLr5jmQ57CP","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",9.999900014
"2991006","2024-05-19T12:40:12.002","5EexunP9HW4rHpJGWXzNgjrvBiydA5ZQndohWfcE8V2CLuXV","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.999900016
"2990970","2024-05-19T12:33:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EqMFfNrXj9HSomp6Npg3oX6wgdV16nCtKNvE8kXodBrCHL4","Out",16.3617216
"2990970","2024-05-19T12:33:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5ChYhLMZNk5tiK37BXV9qJ54YL25komf2Rty7Z96rLJsMy8e","Out",4.99974129
"2990708","2024-05-19T11:40:12","5CYyhS1an1uLWyR3zpzozkNhbQJqs8m6V3J3jU8by6jv6gZg","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.994900015
"2990708","2024-05-19T11:40:12","5CtxtMKxiDVqrSLQNNdsX62ZReWq2ZQnFU9gtNKzWys5C8hF","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.025924669
"2990658","2024-05-19T11:30:12","5CNerD1Q4b7zf1Kz4GQz4ZHtzLtW1mfhmrWVz5yhrG5Pbtwz","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.098880016
"2990608","2024-05-19T11:20:12.001","5CUgaxLQKyEZrQifp2LB4Aw3ArkqQNKJjVyLzmeLRmtYKT5e","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.659900016
"2990501","2024-05-19T10:58:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CDNUpxrYfDC3tXCuLEjZj2cLmJCxSJBR1Uc7CV1bRofLfNm","Out",2
"2990469","2024-05-19T10:51:48.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GCNC6CWXPx9AfjXkQ9vJjKW6r5fRMeYfaR6HYBo4H1AdPEq","Out",0.29780671
"2990468","2024-05-19T10:51:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GLVefUn8JkchECqWGqxnj7ux4pANGqjDkZyKLrdoUuxZWea","Out",0.7
"2990311","2024-05-19T10:20:12","5CYqUbsc5szwM8cszLcXdpwE8KKAiTb3NRJt5ritCCXAay2r","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.162708654
"2990261","2024-05-19T10:10:12.002","5CyoWGwUc81XgBu73M2iFHCRvHrZWE3UDj8e6aHzFcwL4e8o","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",20.989900014
"2990261","2024-05-19T10:10:12.002","5CGS9JBC7ZZL4EeRtWAAxXcmRBq5S774ri1EC6uJDtjabRd2","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.029839015
"2990127","2024-05-19T09:43:24.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FEraByyopvGuCkBgTWt75Nixzj4ogJuMpcNJxwJ8x4M39Lw","Out",0.7409
