"Block height","Time(UTC)","From","To","Direction","Amount"
"3214559","2024-06-19T19:00:12.003","5Dv2KpTLJ6d74J5VDoG9mv1emkpoyY8uNo3vcfZxuFE5R2uL","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",143.466205527
"3214557","2024-06-19T18:59:48.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DoFq8uW1ECTjTJA7JZHms9Cr9AYejoNB4ZwTLRycDQjtVHF","Out",1.54423734
"3214472","2024-06-19T18:42:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HbezrxGKxxhzuTnsgn9QMVtwEva7mag7JyEV6FbkX1AZF8H","Out",3.9997
"3214459","2024-06-19T18:40:12","5DEXW9LcVUnRnjAAs6MXgDJ4qgDGEqhGc7JLPafyRk2iQerS","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.099875442
"3214441","2024-06-19T18:36:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5D25Tqh4Cx2G5oh3evGT8D2RUSFJ2NTuZyBJvBEDPWBkGWuY","Out",90.9327858
"3214437","2024-06-19T18:35:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CmvaYJeDLgiVnKMk4jbNnFLkwFBgDC1YxHnK8TLeSiZCMfT","Out",17.1728
"3214409","2024-06-19T18:30:12","5E5R6uFg7c3X8KP44rTTxfXXgKiXMs1hbzCrv34yYFQVCTWs","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",9.05487544
"3214395","2024-06-19T18:27:24.01","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HmP5PT9bfzqZiLzyDgdsr7rcLph6bPDP9b9ooRfbtfNvXBx","Out",0.9991995
"3214388","2024-06-19T18:26:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DG19DBLdxwFyjvfxLtt1jvUENouDKD5meE5uostYgFpjqMQ","Out",23.93115119
"3214373","2024-06-19T18:23:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GbCAQGb8RxHCzzZPoUwuyC1agSqgvtgzWZNrXEAJ6iXkqiy","Out",4.037658
