"Block height","Time(UTC)","From","To","Direction","Amount"
"3204742","2024-06-18T10:10:12.002","5CWuXWoKZJr1LUFWittnsnESiXv8Vmw15F9bRq2VW7hvUoZb","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",4.99987544
"3204720","2024-06-18T10:05:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5G6dUQXAoBVRXcHhcxKxayVYRf58Q6BJGe9g92eBeP4tj4ik","Out",28.48877305
"3204692","2024-06-18T10:00:12","5GsQmSa5UVAps63JinL6wriKnQkspKjqspqdvZLkuDqHhCbf","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",7784.604788289
"3204692","2024-06-18T10:00:12","5CWEfdt5rwnHfpVhF5F5c21D6GXAN74Hw3AcE33dvppD6E5d","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",36.99987544
"3204642","2024-06-18T09:50:12","5DE6V3MfjFDpcwMGgoF12vjmeEfnMYrPZm7QU9zyvWexQhi9","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.486875441
"3204630","2024-06-18T09:47:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Hn6jYHcHCF6ojyUtoZTYsEwAZkb4eaSvje9RbsKuTLCjGb4","Out",419.9997
"3204626","2024-06-18T09:47:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FTgtubTzgV6NVKhvo6e9spyL8qyjNiksLTqj5n5DtJjrZ7y","Out",0.0902094
"3204608","2024-06-18T09:43:24.01","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FUGtGkSobcoc4dzd2cvQiW2rL9zHKEJUZwny5n5d5AfApK2","Out",438.3814794
"3204557","2024-06-18T09:32:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5He1VQijhUyNT2ZPbnj2ZDYW3TVXom4u13uHkrJVRHERdj5x","Out",0.1760235
"3204546","2024-06-18T09:30:12.002","5CnBAhfAXUboPvgMm7HiWDPkgcmUxPxchkZ9yxVsH8Zas6gJ","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",49.99987544
"3204546","2024-06-18T09:30:12.002","5D1jhbkhkWarkYFsFSPopgSEpydzW6dh4QxaqbKGi5w8qUex","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.969626359
"3204544","2024-06-18T09:29:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HeWpCPjbuhbh1p6NcMeXGNbH2H7GDCVjN36aeh1sReaFS7D","Out",0.34720873
"3204541","2024-06-18T09:29:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CfbRchZXzmBQTZ5aF5gRuyrd75KUueD62fKCu6QFnFwLs65","Out",1.708161
"3204531","2024-06-18T09:27:12.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Dkr4us6eUAeZCahJtnM5u8RyZNPV2njR8J1BHUBegNYySnL","Out",0.0902094
"3204515","2024-06-18T09:24:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DZrfKmwwSeQFtANPqJ5BJmH54HnPDG3wDRq4nNS1rMnFMgm","Out",0.0375
