"Block height","Time(UTC)","From","To","Direction","Amount"
"3135930","2024-06-08T19:50:12","5EbC3cyppakESsR1y7ib2VxciSBCDo17R3SVXC2HKF9SZYSG","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.999750881
"3135903","2024-06-08T19:44:48.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5F1ptM6zJzRtizucUJQETiqdDaNknFtA8Pk93b66o58JfHEc","Out",29.8328
"3135889","2024-06-08T19:41:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GT8AYo5jBvzMLeBXKknJKEB6mwjXnw4zDtmjTQeHZoqzFHR","Out",12.9997
"3135881","2024-06-08T19:40:12","5CimzGWLUgJxatseNkaDqHHQqHzihihvHvSRq7WdF4TabQNg","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",5.532590423
"3135881","2024-06-08T19:40:12","5CTwPeNADmf75bSTmhTubt3XSHt5Aq8JXsupZWCoGyc4ubpz","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.859875442
"3135852","2024-06-08T19:34:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GunXnQL5QGBiuLSegG2KVJ7ZjUkSuC21xurPCH7f6PZosJK","Out",1.33316331
"3135849","2024-06-08T19:33:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DydVWj59UrHHoW5vWx9QJgnHYB2YMQjpU2jwVKqGEaJg2DD","Out",3.9835122
"3135846","2024-06-08T19:33:12.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FmKVJKPQxTYGH1vXEYVHEbvCJvEX56F9387u9S3dL1ZzEUr","Out",84.9997
"3135843","2024-06-08T19:32:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HpwYH27rzcUpkEXwwMdD6oGhk6eiW5wPdNxFajDKjphJp7z","Out",0.9987
"3135840","2024-06-08T19:32:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5F1ptM6zJzRtizucUJQETiqdDaNknFtA8Pk93b66o58JfHEc","Out",26.1851
"3135833","2024-06-08T19:30:36.001","5CHeBUi57isfVdx3mZFb1fgsohNMXpz4GjGurb8z3ZfrtrTN","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.242018061
"3135631","2024-06-08T18:50:12.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GeFtycSwS3obS7qdRxcoGuBj3sHMv9MbC4AA2j212KAtKUF","Out",1.0531
"3135607","2024-06-08T18:45:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CmvaYJeDLgiVnKMk4jbNnFLkwFBgDC1YxHnK8TLeSiZCMfT","Out",30.7656
"3135584","2024-06-08T18:40:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5G4WvtSj4UL5pgN9W1uVKwkZcFvBBWTC3TR93ZrABNMdAEQQ","Out",0.51076087
"3135581","2024-06-08T18:40:00.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GQMdbmJ21nRau55xU9W8ZYfa1AAJt2jy8xFnXQVTJVN61ut","Out",58.1207
"3135562","2024-06-08T18:36:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5G1iUf14Zy5N7LCMZTgkdAMjUAa5WSBcqffed5Nmvj2yHeAQ","Out",5.1520425
"3135557","2024-06-08T18:35:12.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HmVrt47UiAV3MKnaJCe8nQAQaip1eUE3rEE23Bg8QxkgESc","Out",1.01876
"3135547","2024-06-08T18:33:12.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FeKQ5sqrxt4ZnaELaXhR6aNgYmcwAh3w3cfqBoKwr8rBVhL","Out",3.9957
"3135532","2024-06-08T18:30:12","5Cq76QERLDRs5HcdpvX6WrwYh9uNpPPEfuyMcdgSCdTbJC8d","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.432882616
"3135263","2024-06-08T17:36:12.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FxxGYpnJzQVEhme6BKgfmL2fcHHHTtfvZJ5hHvnnT93vD5k","Out",0.5298693
"3135254","2024-06-08T17:34:24.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CCrGboWKdrBZE7pAVcHjZnAosmeJAfdPoq9eV6ZVtuGvYUp","Out",0.88477949
"3135236","2024-06-08T17:30:48.002","5CkWbZUn6qR8pStsuyAkzLkpCuUrUkjSTv95R1HoRcPVSzf3","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1000.99987544
"3135218","2024-06-08T17:27:12.007","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CDNAhtaSX9PyFM73W3Re3Z2nCEEDZVBYc7JJQPSZu1dhSFt","Out",0.53417527
"3135210","2024-06-08T17:25:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GgsiMzCbV6v62gWH7Krt2B5NhHbYkshD6dTTdcwiqUbNXXE","Out",0.4871068
"3135150","2024-06-08T17:13:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EtEP9DVKMx7Jskjc2sZp6pMWBKSLopQMY5MELe18rTdCFsw","Out",3.46828022
"3135133","2024-06-08T17:10:12","5DbGbQyMPnpsvnFyvempTNcMgvrLcSBjGL6MaNM9wpJCCGCv","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.416448442
"3135127","2024-06-08T17:09:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FTgCXpvLmSjNrKB1hMHa9DedZJNx2VGdugKQxyshENcrUqE","Out",49.3336157
"3135116","2024-06-08T17:06:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FTgCXpvLmSjNrKB1hMHa9DedZJNx2VGdugKQxyshENcrUqE","Out",0.9997
"3135083","2024-06-08T17:00:12.001","5DBgPjNi73jbXAj5b5QTHApRk5utwtVLXB5UAF9JvfMsqrim","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",5.23787544
"3135083","2024-06-08T17:00:12.001","5CdiFZTr8itphAdpnzoXK2fU9hfNJYE4CMKqecWM1p7X2Cyg","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",4.99987544
"3134888","2024-06-08T16:20:12","5D8NK9JLoYyZBeUoL172sLgDFqyc6iAiqWJXUwQnyKoCBuXi","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",3.047197746
"3134865","2024-06-08T16:15:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CcyW6CBrgDz9KAzppLvM5EaifsVTomrADUJ5Q3GqKnv6VxZ","Out",2.02603687
"3134838","2024-06-08T16:10:12","5CWFaK52ojwuPs9PQN4bMSZE8oJPoChiFrrzhGE1BxZ9jQSr","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",30.35487544
"3134838","2024-06-08T16:10:12","5DB8vZqjiDfXFbzZf6QbyB28yDi4S1Q41GtZaaCzS62JV8a8","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.289955441
"3134819","2024-06-08T16:06:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5En8XR7YQi436zsWYEmBAb3SzmLAXMgMRMB3Z9Y4gzwaNvho","Out",1.00039032
"3134801","2024-06-08T16:02:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FpXC8XFw5LseSXNSm8RBivJhYXcrq3n8D4iVsZyjdudQLk1","Out",498.1602
"3134788","2024-06-08T16:00:12.001","5DATtDYGJkmEu6MhZYUr7J9XVA9tzoMNC3TVte3ix99dXpfo","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",8.00696644
"3134788","2024-06-08T16:00:12.001","5CimzGWLUgJxatseNkaDqHHQqHzihihvHvSRq7WdF4TabQNg","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",5.54086339
"3134788","2024-06-08T16:00:12.001","5D67ZrkyMGMneFu3f2u4a2gYqgJCRUTqjUdMzokH4ctrdNEw","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",4.778501765
"3134788","2024-06-08T16:00:12.001","5GXTFg26i1zjnUwUngn2PYQuKSb6hzEGt8QfiQSPqg2NCRZE","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.699875441
"3134757","2024-06-08T15:54:00.003","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GjtdeyCkM1YqCzqgtaX1DjjHpFBegHquCWgwcNpvJdpX4v4","Out",1.21929
"3134743","2024-06-08T15:51:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5ELXUX97JX4ADqN45aS779SgkYmfA6x82Y8pb6CB2PiM1Nh4","Out",1.9977
"3134722","2024-06-08T15:47:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DiJJbidmWtZxQr237Pc2jDBPaW3NyN7UVay7mj6GPGUkYki","Out",0.90721934
"3134537","2024-06-08T15:10:00","5D4nN1jmrNK44Pu8BerCm8YZetoUT1Fpf1f3fGzqayqdkLiH","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",120.99987544
"3134469","2024-06-08T14:56:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GwyrUdg9GA8dqmRC5za8bt4kLmEZtATfXteroptyjRzam94","Out",2.27767307
"3134400","2024-06-08T14:42:12.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EsjznMxKQyMzy4CZYft4DrWh3FV5nNWr8aeFTa7bNUuHnie","Out",10.01835211
"3134396","2024-06-08T14:41:24.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HYu6eULpkaJWmkAa5NajifEa5Y2YSMmC6RRJJhe25cySkGj","Out",0.0159837
"3134393","2024-06-08T14:40:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EyhUyqZ4tGnWFsn75gWUdvgVS6r69Hzguq3Eob9Wfg1aBqE","Out",0.252447
"3134390","2024-06-08T14:40:12.003","5Db3erTUfKuBQd6wjTHQ9MjNJy4RxXXzQAPRyozo8gTPm8pv","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",10.24059996
"3134390","2024-06-08T14:40:12.003","5EbBt58C9E5LAjGevwwXtWTpWMbqZRqQYwiRbJifUjVWs3yt","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",4.99987544
"3134390","2024-06-08T14:40:12.003","5DAHuWwsuJmfyBBheCeUc2EcRNLnsK7isNQPvTzdjHqfrWkQ","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.999875441
"3134390","2024-06-08T14:40:12.003","5CsFUBX8oVcNuyRcHc91Q9VWUH5Zidac7chgB5iqVYFZsEpM","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.549875442
