"Block height","Time(UTC)","From","To","Direction","Amount"
"3128169","2024-06-07T17:50:12.001","5DaPiCyjKqrcqzuTUmLE2kYNNt2ZWbARJ1ZjhwUkZKNUw7hk","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",19.81487544
"3128169","2024-06-07T17:50:12.001","5DAN7GdN5yBnnqzeoo7aiaSiNJoRkJfW6AfiSDUBjgSTYGbw","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",16.45487544
"3128169","2024-06-07T17:50:12.001","5CimzGWLUgJxatseNkaDqHHQqHzihihvHvSRq7WdF4TabQNg","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",5.048110908
"3128152","2024-06-07T17:46:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EsuoS4ZgpgyRjQ7MU35AqVEp7Hm4kPBFWNTXFvx63AYLhLc","Out",1.40203674
"3128149","2024-06-07T17:46:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Fn2zE6p9DTXDxA8uTCYZjjnWZFfairj4tjnKRtqLwrdiQMM","Out",50.2497
"3128146","2024-06-07T17:45:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CMigvbN7JiEB1nqwAzPDe6ZxZWiR4EeDY6eWx44qANgS8Fk","Out",7.5652002
"3128028","2024-06-07T17:21:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GngcYYfonAT78YNbryNeRBaL8eR9Vn62hdJXYrep1GqT48J","Out",31.93209296
"3128023","2024-06-07T17:20:48.002","5DAwy8imp2GrpYrBqc6hh5F2hr2fmkGLjPtFrjktPZJWs9tw","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.442075442
"3128020","2024-06-07T17:20:12","5EbC3cyppakESsR1y7ib2VxciSBCDo17R3SVXC2HKF9SZYSG","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.249377206
"3128020","2024-06-07T17:20:12","5DAN7GdN5yBnnqzeoo7aiaSiNJoRkJfW6AfiSDUBjgSTYGbw","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.024875442
"3128017","2024-06-07T17:19:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GNrKeaZnJQRB66R4fCZJ2J16kfnYpoz9Y6rjD5xwpeFAg1i","Out",1.0346
"3127979","2024-06-07T17:12:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Fn2zE6p9DTXDxA8uTCYZjjnWZFfairj4tjnKRtqLwrdiQMM","Out",100.03047711
