"Block height","Time(UTC)","From","To","Direction","Amount"
"3187366","2024-06-16T00:02:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HD8MPaJYuKukywQCT5CdpZuQ8U1WxbihjDGs2DiK8zCVfAd","Out",44.0197
"3187360","2024-06-16T00:01:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CmvaYJeDLgiVnKMk4jbNnFLkwFBgDC1YxHnK8TLeSiZCMfT","Out",16.3052
"3187204","2024-06-15T23:30:12.003","5CtZRnKLKTVEswkBFimQf9d3tDaJcJwQsbPyJ7VQ77ow3UDJ","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",159.115734809
"3187204","2024-06-15T23:30:12.003","5Dv2KpTLJ6d74J5VDoG9mv1emkpoyY8uNo3vcfZxuFE5R2uL","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",69.976954447
"3187173","2024-06-15T23:24:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5F1mR3moHQNJKJS6LbHCryyixARJabPzfpW4XXrYbEyKhr3A","Out",0.3411582
"3187117","2024-06-15T23:12:48.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CVG4GE66Y6w9xJzq6Tvt2DvdXhwHceHvAkWYkrkMm9z2GTd","Out",0.47646346
"3187104","2024-06-15T23:10:12.001","5CzKcAdaf7EFHAt3uNYtgVywRs7Q2y8XuTitdoiyaD2S98Ry","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",79.89987544
"3187037","2024-06-15T22:56:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DcxSKEFS69rw5ZkorhBTYGixr3ZBujYnmKxwFi9NDNjkL71","Out",0.9011976
"3186955","2024-06-15T22:40:12.001","5D73tAirAjpE8n6S3xG1wgaPHHVf3HTW1LuT4emCKzLUrCnF","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",4.45257544
"3186904","2024-06-15T22:30:00.001","5D6sWKtDgBEcWJNBWPMuS58CnQZVn2b23qhGJbPgcy8G7CjJ","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",7.05044744
"3186858","2024-06-15T22:20:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CAX2o2zUPDRbfoqEbao9dEjcr9auda7aiQxDBFHiYZJm2KS","Out",122.5397
"3186855","2024-06-15T22:20:12.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HD8MPaJYuKukywQCT5CdpZuQ8U1WxbihjDGs2DiK8zCVfAd","Out",95.6397
"3186855","2024-06-15T22:20:12.001","5Dv2KpTLJ6d74J5VDoG9mv1emkpoyY8uNo3vcfZxuFE5R2uL","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",455.157006804
"3186805","2024-06-15T22:10:12","5Cc4ygj296P8gyu9Qv7hSoxbKRJMrYUnVvwWX4H3JKNahLuh","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",46.07477544
"3186804","2024-06-15T22:10:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EAaU7ZKiUvGqMn5Rmg2SkDrih9GzjnCjuwXq2onBFTQqNCM","Out",0.2345837
"3186771","2024-06-15T22:03:24.006","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5C8HzS8tdnNBmADiJSwtQKgdSdtu4LQs5Lu2SRmpFx8YrTDT","Out",5.39147119
"3186755","2024-06-15T22:00:12","5Cqtb6XpVPGfdtoWeGqUavaGGNktBfTRXQRoJaAnnsCRqv8j","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.204084751
"3186703","2024-06-15T21:49:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HmP5PT9bfzqZiLzyDgdsr7rcLph6bPDP9b9ooRfbtfNvXBx","Out",0.9987
"3186660","2024-06-15T21:41:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CAMzLU7z2BU7E5SQ443mDi1vzzj8XfUdnBCB3RExK8GSTVN","Out",1.0479938
"3186637","2024-06-15T21:36:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FpcKX8gd3TuEhsHXapNDYz1kwpGPJpxJf9S8LdFx68oG5jw","Out",1.2325659
"3186598","2024-06-15T21:28:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5E1UrAsasYfw78Rght68GrAupuTehVr6cARAhrKEtgbsWq9U","Out",0.097602
"3186506","2024-06-15T21:10:12.003","5Dv2KpTLJ6d74J5VDoG9mv1emkpoyY8uNo3vcfZxuFE5R2uL","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",256.003871838
"3186502","2024-06-15T21:09:24.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DVGLQqEbb6zzrDQpmiPHBkZ5ES2aYkCJgimjwZTfpC9PVzG","Out",9.9901
"3186492","2024-06-15T21:07:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CAX2o2zUPDRbfoqEbao9dEjcr9auda7aiQxDBFHiYZJm2KS","Out",69.2397
"3186489","2024-06-15T21:06:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HD8MPaJYuKukywQCT5CdpZuQ8U1WxbihjDGs2DiK8zCVfAd","Out",49.2397
"3186477","2024-06-15T21:04:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5D8CYjK33d2VdBTbqo1EdvQY1DDSYgYcwAu5NZFshT6XBQb6","Out",0.98631008
"3186456","2024-06-15T21:00:12.005","5D7usGFeKB2GG32ZENteT7PRARXtYaSPHc9d9FqPrjkqEuvh","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.989875442
"3186450","2024-06-15T20:59:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DVGLQqEbb6zzrDQpmiPHBkZ5ES2aYkCJgimjwZTfpC9PVzG","Out",0.0097
"3186400","2024-06-15T20:49:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CVG4GE66Y6w9xJzq6Tvt2DvdXhwHceHvAkWYkrkMm9z2GTd","Out",99.97159009
"3186370","2024-06-15T20:43:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GdeuQ5EipdJ7Zatntv77EuSHqPJSCXPV9P26kQ6FW2peHPp","Out",1.03130099
"3186356","2024-06-15T20:40:12.003","5D67ZrkyMGMneFu3f2u4a2gYqgJCRUTqjUdMzokH4ctrdNEw","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",13.200101763
"3186277","2024-06-15T20:24:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CFiVK9Hw5pMX1MQNnt9miUCMP636av4pkSE1M35yFeG6cwf","Out",3.2035919
"3186272","2024-06-15T20:23:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CAX2o2zUPDRbfoqEbao9dEjcr9auda7aiQxDBFHiYZJm2KS","Out",77.3497
"3186260","2024-06-15T20:21:00.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5ETy9nqMJRgBCF3SCnWmm7waJWfd3RkGxWEFpYNjvHCPUcZF","Out",57.6067087
"3186256","2024-06-15T20:20:12.003","5DajGCJU3uUgSS64TPBJUdanmLQwwuJGU3KKRGUuBFeNVgEj","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.704875442
"3186250","2024-06-15T20:19:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5E9jnTvVLypxALUtjBBGfhZvGXCAHSbLaiPDdw6m14uojTxW","Out",1.11540027
"3186239","2024-06-15T20:16:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CFiVK9Hw5pMX1MQNnt9miUCMP636av4pkSE1M35yFeG6cwf","Out",0.9997
"3186209","2024-06-15T20:10:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CBAcTo1ZNPtfXi6Lcvz4m9a82eCGvjoUJzEGpisfKsZHpes","Out",1.9744183
"3186189","2024-06-15T20:06:48.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CBAcTo1ZNPtfXi6Lcvz4m9a82eCGvjoUJzEGpisfKsZHpes","Out",0.0047
"3186176","2024-06-15T20:04:00.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CAMzLU7z2BU7E5SQ443mDi1vzzj8XfUdnBCB3RExK8GSTVN","Out",0.2897
"3186138","2024-06-15T19:55:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5EXDLhe9ZFgGvkEMxhZRAuBeiVRG2jDQUEqbWWgipSh3crLx","Out",2.0037
"3186129","2024-06-15T19:53:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CAMzLU7z2BU7E5SQ443mDi1vzzj8XfUdnBCB3RExK8GSTVN","Out",0.0097
"3185998","2024-06-15T19:27:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CaUUdYhznGYRou9ExrYZnoPmMvifbAvWe1c77tPK3y7xEfQ","Out",7.22120249
"3185970","2024-06-15T19:22:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CtYZ6zWjTB7SWsiXsZcgzpcqXjyUATrtcq1FJinRi6RZqoi","Out",4.9997
"3185965","2024-06-15T19:21:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CaUUdYhznGYRou9ExrYZnoPmMvifbAvWe1c77tPK3y7xEfQ","Out",0.9997
"3185961","2024-06-15T19:20:12","5Ckm1GKaJr6suqh4ySp8EFNAnHvfdELEmqdWDB1MfUdszSYu","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",30.00987544
